GROUPID,KESATUAN
90714,KODIM 0714 - Salatiga
90715,KODIM 0715 - Kendal
90716,KODIM 0716 - Demak
90717,KODIM 0717 - Grobogan
90718,KODIM 0718 - Pati
90719,KODIM 0719 - Jepara
90720,KODIM 0720 - Rembang
90721,KODIM 0721 - Blora
90722,KODIM 0722 - Kudus
9074,KOREM 074 - Warastratama
90723,KODIM 0723 - Klaten
90724,KODIM 0724 - Boyolali
90725,KODIM 0725 - Sragen
90726,KODIM 0726 - Sukoharjo
90727,KODIM 0727 - Karanganyar
90728,KODIM 0728 - Wonogiri
935,KODAM V - Brawijaya
9081,KOREM 081 - Dhirotsaha Jaya
90801,KODIM 0801 - Pacitan
90802,KODIM 0802 - Ponorogo
90803,KODIM 0803 - Madiun
90804,KODIM 0804 - Magetan
90805,KODIM 0805 - Ngawi
90806,KODIM 0806 - Trenggalek
90807,KODIM 0807 - Tulungagung
90808,KODIM 0808 - Blitar
90810,KODIM 0810 - Nganjuk
90809,KODIM 0809 - Kediri
90811,KODIM 0811 - Tuban
90812,KODIM 0812 - Lamongan
90813,KODIM 0813 - Bojonegoro
90814,KODIM 0814 - Jombang
90815,KODIM 0815 - Mojokerto
90818,KODIM 0818 - Kepanjen
90819,KODIM 0819 - Pasuruan
90820,KODIM 0820 - Probolinggo
90821,KODIM 0821 - Lumajang
90822,KODIM 0822 - Bondowoso
90823,KODIM 0823 - Situbondo
90824,KODIM 0824 - Jember
90825,KODIM 0825 - Banyuwangi
90833,KODIM 0833 - Malang
90816,KODIM 0816 - Sidoarjo
90817,KODIM 0817 - Gresik
90826,KODIM 0826 - Pamekasan
90827,KODIM 0827 - Sumenep
90828,KODIM 0828 - Sampang
90829,KODIM 0829 - Bangkalan
90830,KODIM 0830 - Surabaya Utara
90831,KODIM 0831 - Surabaya Timur
90832,KODIM 0832 - Surabaya Selatan
964,KODAM VI - Mulawarman
90905,KODIM 0905 - Balikpapan
9091,KOREM 091 - Aji Surya Natakesuma
90901,KODIM 0901 - Samarinda
90902,KODIM 0902 - Berau
90904,KODIM 0904 - Tanah Grogot
90906,KODIM 0906 - Tenggarong
90908,KODIM 0908 - Bontang
90909,KODIM 0909 - Sangatta
90912,KODIM 0912 - Sendawar
90913,KODIM 0913 - Penajam Paser Utara
90914,KODIM 0914 - Tana Tidung
9092,KOREM 092 - Maharajalilla
90903,KOREM 0903 - Tanjung Selor
90907,KODIM 0907 - Tarakan
90910,KODIM 0910 - Malinau
90911,KODIM 0911 - Nunukan
90915,KODIM 0915 - Mahakam Ulu
9101,KOREM 101 - Antasari
91001,KODIM 1001 - Amuntai
91002,KODIM 1002 - Barabai
91003,KODIM 1003 - Kandangan
91004,KODIM 1004 - Kotabaru
91005,KODIM 1005 - Marabahan
91006,KODIM 1006 - Martapura
91007,KODIM 1007 - Banjarmasin
91008,KODIM 1008 - Tanjung
91009,KODIM 1009 - Pelaihari
91010,KODIM 1010 - Rantau
91022,KODIM 1022 - Tanah Bumbu
91023,KODIM 1023 - Batulicin
962,KODAM XII - Tanjungpura
91207,KODIM 1207 - Pontianak
9102,KOREM 102 - Panju Panjung
91011,KODIM 1011 - Kuala Kapuas
91012,KODIM 1012 - Barito Selatan
91013,KODIM 1013 - Muara Teweh
91014,KODIM 1014 - Pangkalan Bun
91015,KODIM 1015 - Sampit
91016,KODIM 1016 - Palangkaraya
91017,KODIM 1017 - Lamandau
9121,KOREM 121 - Alambhana Wanawai
91201,KODIM 1201 - Mempawah
91202,KODIM 1202 - Singkawang
91203,KODIM 1203 - Ketapang
91204,KODIM 1204 - Sanggau
91205,KODIM 1205 - Sintang
91206,KODIM 1206 - Putussibau
91208,KODIM 1208 - Sambas
971,KODAM XIII - Merdeka
9131,KOREM 131 - Santiago
91301,KODIM 1301 - Sangihe
91302,KODIM 1302 - Minahasa
91303,KODIM 1303 - Kotamobagu
91309,KODIM 1309 - Manado
